,algebraic connectivity (directed),algebraic connectivity (undirected),eigen gap (directed),eigen gap (undirected),node,essential
530,-0.00011828489018429755,5.342538161590138e-07,0,-1,KAS4,True
531,-3.967659958883929e-05,5.342538161590138e-07,0,-1,KAS5,False
532,-3.96765995883952e-05,5.342538161590138e-07,0,-1,KAS6,True
533,0.00011546678790473608,5.342095227289789e-07,0,-1,KAS7,False
534,0.00011546678790090581,5.342095227289789e-07,0,-1,KAS8,False
535,-3.0365723875241946e-06,5.342538201280611e-07,0,-1,KAS9,False
536,0.00010711613225775074,-2.1533266922751926e-06,0,-1,MALTATr,False
537,1.56034477586664e-05,5.350112656510309e-07,0,0,THRD,False
538,4.035097856194825e-06,5.051543869594166e-07,0,-1,URCN,False
539,-0.000162532643744287,5.405053803697601e-07,0,-1,DHAD3,False
540,0.00028322798279049877,1.111524631461358e-06,0,-1,NADK5,False
541,0.0002292840940075619,7.409900583121853e-07,0,-1,NADK3,False
542,-0.027394727277436144,2.9567924332563056e-07,745,-1,CYTK2,False
543,7.429396978350655e-05,9.123706383035168e-07,0,-1,NADK4,False
544,3.820085085291802e-05,3.349069640223856e-07,0,-1,G5SADs,True
545,2.5803520485437326e-05,4.2475165777655643e-07,0,-1,PRO1x,False
546,0.0006474326594669844,-4.6615936416527504e-08,0,-1,PNTK,False
547,-0.000565184125614876,6.340374670010807e-07,0,-1,PPCDC,False
548,2.81529060174035e-06,-0.016837322168827988,0,-1,PRAIS_1,True
549,1.520242096195168e-06,-5.7018809480891e-07,0,-1,ALDD1,False
550,-0.000506907283927327,2.6595771612791808e-08,0,-1,OCOAT1,False
551,-3.5741669621378036e-05,-0.06997862948527053,0,-1,CHOLD2,False
552,-3.9636684177418724e-05,-0.00013042894165236907,0,-1,FMNAT,False
553,-1.452673301387264e-05,-5.624806427281803e-06,0,-1,SORD_D,False
554,-0.00012198531895640796,5.416633744037558e-07,0,-1,HSK,True
555,-1.8968031861854584e-06,5.471510113735922e-07,0,-1,LAAL10,False
556,1.1690766113042761e-05,5.467920657226122e-07,0,-1,THRD_L,False
557,0.0004977561088644472,1.610529365286828e-07,0,-1,UAGCVT,True
558,-7.87853848623482e-05,3.696067289032934e-07,0,-1,PAP_BS,True
559,6.42064233724593e-09,-7.123366104894169e-07,0,-1,DKMD2K,False
560,-1.636125353324247e-05,-2.515850024506494e-05,0,-1,GLXO1,False
561,1.5425358234524844e-05,-0.02083618658563157,0,-1,GCALDD,True
562,5.0736542313564725e-05,-3.5241397379523476e-05,0,-1,GLXCBL,False
563,2.6755102066761127e-06,1.5403982333433985e-06,0,-1,PGLYCP,False
564,2.3426527079442594e-05,-2.895542459567524e-05,0,-1,UGLYCH,False
565,2.0734955447354597e-06,3.831915541416264e-06,0,-1,IPDDI,False
566,-8.8315586917187e-06,6.568143612606381e-07,0,-1,IPDPS,False
567,3.177912351851053e-05,4.164759942540397e-06,0,-1,PPTT,True
568,6.0924019603864066e-05,2.352629946134055e-07,0,-1,PPBNGS,False
569,1.6043234968482478e-05,1.9550113492805554e-06,0,-1,CPPPGO,False
570,3.5950365574882737e-06,-2.094219384837781e-06,0,-1,DM1PE,False
571,0.0012423713202385084,5.349104515578462e-07,0,-1,HACD9,False
572,-0.004721140362867887,5.490896177046123e-07,0,-1,PPCOAC,False
573,8.054170480617517e-05,4.815412957132059e-07,0,-1,HACD1_1,False
574,3.0004501942113015e-05,5.537209147865596e-07,0,-1,ACOAD1,False
575,1.1086262326542862e-05,5.333450014549657e-07,0,-1,HACD2,False
576,1.1375176017611177e-05,5.358499713392639e-07,0,-1,ACOAD2,False
577,1.132905723258415e-05,5.350883258842254e-07,0,-1,HACD3,False
578,1.132921281171706e-05,5.350982018453854e-07,0,-1,ACOAD3,False
579,1.132937513943777e-05,5.35096435425042e-07,0,-1,HACD4,False
580,1.1329187467018498e-05,5.350923940050656e-07,0,-1,ACOAD4_1,False
581,1.1328446913358436e-05,5.354073836227879e-07,0,-1,HACD5,False
582,1.129784960572644e-05,5.343708033289651e-07,0,-1,ACOAD5_1,False
583,1.1152887692628122e-05,5.893337065437931e-07,0,-1,HACD6,False
584,7.767892167692692e-06,4.471715076143079e-07,0,-1,ACOAD6,False
585,1.0002130899855466e-05,5.839094217585661e-07,0,-1,HACD7,False
586,0.003099057464224203,5.723319350808831e-07,0,-1,ACPpds,False
587,1.567965887863676e-05,5.890014160431223e-07,0,-1,ALDD3,False
588,-7.203147279213895e-06,5.668594892094259e-07,0,-1,PPAKr,False
589,0.0001854122184407475,5.79623229163273e-07,0,-1,ACLDC,False
590,2.4322172939503228e-05,5.928275892685964e-07,0,-1,BTDD_RR,False
591,7.6076246714879e-06,4.65109449926393e-07,0,-1,ACOAD7,False
592,1.5184318298694377e-06,5.415174297168646e-07,0,-1,DAGK_BS,False
593,2.4689770077454543e-05,5.930566342876586e-07,0,-1,ALDD14,False
